,video_title,video_link,video_views,video_duration,video_availability,channel_id
393,"Jacquees on Young Thug, Gunna & YSL’s RICO: 'Everyday I’m Praying for Thug' | CLUB SHAY SHAY",https://www.youtube.com/watch?v=b18litLxq0g,13861,2:29,1,UCQoxJOkwaCgyzQtiuAIDcuw
242,T.I. Inspiring Shannon Sharpe To Do Stand Up Comedy. Should He Do It? | CLUB SHAY SHAY,https://www.youtube.com/watch?v=f0GSIBl3AQI,14032,2:00,1,UCQoxJOkwaCgyzQtiuAIDcuw
119,Death Row & Kirk Franklin Were Signed To The Same Label At The Same Time | CLUB SHAY SHAY,https://www.youtube.com/watch?v=3cSCIMEmAME,14156,9:38,1,UCQoxJOkwaCgyzQtiuAIDcuw
122,Kirk Franklin's War With God: Me and God have had struggles | CLUB SHAY SHAY,https://www.youtube.com/watch?v=Y00mL5huWX0,14360,3:29,1,UCQoxJOkwaCgyzQtiuAIDcuw
402,Prince & Stevie Wonder Crashed Ne-Yo's Party Uninvited | Ep. 82 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=Q0qACJmL33g,14468,1:28,1,UCQoxJOkwaCgyzQtiuAIDcuw
216,"J. Cole's Advice To Cordae, Best & Worst Purchases and Super Bowl Commercial With Jonah Hill",https://www.youtube.com/watch?v=S4US16GmU6E,14580,12:09,1,UCQoxJOkwaCgyzQtiuAIDcuw
168,Ric Flair Thinks Dwight Howard Wouldn’t Be a Good Wrestler | CLUB SHAY SHAY,https://www.youtube.com/watch?v=I67hYoRHctM,14637,2:18,1,UCQoxJOkwaCgyzQtiuAIDcuw
386,D.C. Young Fly's Evolution From Being Broke To A Superstar by Jacquees | Ep. 83 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=RT7NQWHrw-0,14649,1:17,1,UCQoxJOkwaCgyzQtiuAIDcuw
442,Timbaland on Being Addicted To Pills & Almost Dying | Ep. 80 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=Wji23WJHKmY,14737,9:27,1,UCQoxJOkwaCgyzQtiuAIDcuw
337,Diddy Turned Chris Brown Down | EP. 86 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=3Yh5ZdhT-dw,14900,3:18,1,UCQoxJOkwaCgyzQtiuAIDcuw
429,Timbaland Top 4 Producers of All Time | Ep. 80 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=w-UATJKPyeE,14950,1:39,1,UCQoxJOkwaCgyzQtiuAIDcuw
344,Stephen A. Smith & Shannon Sharpe Give Love To HBCUs For Helping Them Succeed At The Highest Level,https://www.youtube.com/watch?v=lmQ3ybUGzqE,15027,13:50,1,UCQoxJOkwaCgyzQtiuAIDcuw
300,Dwyane Wade should've went to the Nuggets & Carmelo Anthony to the Pistons in the 2003 NBA Draft,https://www.youtube.com/watch?v=T5-UUp_H4cw,15773,1:20,1,UCQoxJOkwaCgyzQtiuAIDcuw
404,Ne-Yo on Taylor Swift & Breakup Songs | Ep. 82 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=8IrPQRxQI2E,15805,3:38,1,UCQoxJOkwaCgyzQtiuAIDcuw
228,LeBron James Trusting Rich Paul & Rich Paul Understanding His Role | CLUB SHAY SHAY,https://www.youtube.com/watch?v=R195BMyZA_Y,15892,2:30,1,UCQoxJOkwaCgyzQtiuAIDcuw
388,Jacquees speaks on his friend Tory Lanez & situation with Megan Thee Stallion | CLUB SHAY SHAY,https://www.youtube.com/watch?v=OsYqOBAzV-Q,16242,3:26,1,UCQoxJOkwaCgyzQtiuAIDcuw
36,21 Savage On Brother Being Stabbed To Death In London & Relationship With Dad | CLUB SHAY SHAY,https://www.youtube.com/watch?v=0LtWhDgupjs,16260,15:22,1,UCQoxJOkwaCgyzQtiuAIDcuw
397,Ne-Yo Celebrates K-pop & BTS | Ep. 82 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=SIoMyrGj17Y,16305,1:58,1,UCQoxJOkwaCgyzQtiuAIDcuw
191,DaBaby Picks LeBron Over Carolina's Own Jordan & Has Draymond On Top 5 Current NBA Players List,https://www.youtube.com/watch?v=UlwUw4N5AKw,17182,2:17,1,UCQoxJOkwaCgyzQtiuAIDcuw
491,"BMF, Snowfall & Power: 'Suburban Kids Love It' — Mendeecees Harris on crime dramas | CLUB SHAY SHAY",https://www.youtube.com/watch?v=dr0W9pjSIk8,17393,2:33,1,UCQoxJOkwaCgyzQtiuAIDcuw
458,"Omarion On Leaving B2K, Drama Surrounding Group & Crying During First Solo Show | CLUB SHAY SHAY",https://www.youtube.com/watch?v=LpiCSyg8Rjw,17743,17:18,1,UCQoxJOkwaCgyzQtiuAIDcuw
398,Ne-Yo on Garbage TikTok Songs | Ep. 82 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=RC8UjgLX73M,17949,3:12,1,UCQoxJOkwaCgyzQtiuAIDcuw
193,DaBaby On Young Thug's Judge Ruling That Lyrics Can Be Used In YSL RICO Case | CLUB SHAY SHAY,https://www.youtube.com/watch?v=1MTu1QsVD8A,18046,1:40,1,UCQoxJOkwaCgyzQtiuAIDcuw
117,"First Grammy Win Stopped by the Church & The Crucification Of Song ""Stomp"": Kirk Franklin Explains",https://www.youtube.com/watch?v=vO7Ofc7qXiE,18101,11:25,1,UCQoxJOkwaCgyzQtiuAIDcuw
206,DJ Khaled’s Dad Came To America With $20 & The Values Khaled's Parents Gave Him | CLUB SHAY SHAY,https://www.youtube.com/watch?v=Vz4RV1P3YgI,18383,9:01,1,UCQoxJOkwaCgyzQtiuAIDcuw
